DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,_LINEAR_,_QUAD_,cos1,sin2,cos2,cos3,sin4,cos4,sin5,cos5,cos6
01JAN1996,10425000,10812975,13343568,8282383,-387975,1291143,-0.3005,94,8836,0.8660,0.8660,0.5000,1.421E-14,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1996,9365000,7830091,10360684,5299498,1534909,1291143,1.1888,95,9025,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1996,10308000,9622880,12153473,7092287,685120,1291143,0.5306,96,9216,8.329E-15,1.666E-14,-1.0000,3.433E-15,-3.33E-14,1.0000,1.0000,1.323E-14,-1.0000
01APR1996,8638000,8188634,10719227,5658041,449366,1291143,0.3480,97,9409,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1996,6582000,5641554,8172147,3110961,940446,1291143,0.7284,98,9604,-0.8660,-0.8660,0.5000,7.347E-15,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1996,4967000,5343520,7874112,2812927,-376520,1291143,-0.2916,99,9801,-1.0000,-2.74E-14,1.0000,-1.0000,-5.49E-14,1.0000,-1.67E-14,-1.0000,1.0000
01JUL1996,7718000,7803901,10334494,5273308,-85901,1291143,-0.0665,100,10000,-0.8660,0.8660,0.5000,-1.81E-14,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1996,8769000,9622277,12152869,7091684,-853277,1291143,-0.6609,101,10201,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1996,10527000,8738691,11269284,6208099,1788309,1291143,1.3851,102,10404,-4.9E-15,9.798E-15,-1.0000,4.868E-16,-1.96E-14,1.0000,-1.0000,-1.03E-14,-1.0000
01OCT1996,8486000,9143594,11674187,6613001,-657594,1291143,-0.5093,103,10609,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1996,8033000,8092182,10622775,5561589,-59182,1291143,-0.0458,104,10816,0.8660,-0.8660,0.5000,-1.13E-14,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1996,10566000,8720334,11250927,6189741,1845666,1291143,1.4295,105,11025,1.0000,-2.06E-14,1.0000,1.0000,-4.12E-14,1.0000,1.961E-14,1.0000,1.0000
01JAN1997,9089000,11474508,14005101,8943915,-2385508,1291143,-1.8476,106,11236,0.8660,0.8660,0.5000,2.205E-14,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1997,7927000,8501673,11032266,5971080,-574673,1291143,-0.4451,107,11449,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1997,10113000,10304511,12835103,7773918,-191511,1291143,-0.1483,108,11664,1.568E-14,3.136E-14,-1.0000,-4.41E-15,-6.27E-14,1.0000,1.0000,7.345E-15,-1.0000
01APR1997,8410000,8880314,11410906,6349721,-470314,1291143,-0.3643,109,11881,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1997,6571000,6343282,8873875,3812689,227718,1291143,0.1764,110,12100,-0.8660,-0.8660,0.5000,1.519E-14,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1997,5885000,6055297,8585889,3524704,-170297,1291143,-0.1319,111,12321,-1.0000,-1.37E-14,1.0000,-1.0000,-2.74E-14,1.0000,-2.25E-14,-1.0000,1.0000
01JUL1997,8534000,8525727,11056319,5995134,8273,1291143,0.006408,112,12544,-0.8660,0.8660,0.5000,-2.6E-14,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1997,10135000,10354151,12884744,7823558,-219151,1291143,-0.1697,113,12769,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1997,8182000,9480615,12011208,6950022,-1298615,1291143,-1.0058,114,12996,-1.22E-14,2.45E-14,-1.0000,3.675E-14,-4.9E-14,1.0000,-1.0000,-4.4E-15,-1.0000
01OCT1997,9052000,9895566,12426159,7364974,-843566,1291143,-0.6533,115,13225,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1997,10418000,8854203,11384796,6323610,1563797,1291143,1.2112,116,13456,0.8660,-0.8660,0.5000,9.314E-15,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1997,11794000,9492404,12022997,6961811,2301596,1291143,1.7826,117,13689,1.0000,-6.86E-15,1.0000,1.0000,-1.37E-14,1.0000,2.549E-14,1.0000,1.0000
01JAN1998,13263000,12256627,14787220,9726034,1006373,1291143,0.7794,118,13924,0.8660,0.8660,0.5000,1.466E-15,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1998,10313000,9293840,11824433,6763247,1019160,1291143,0.7893,119,14161,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1998,11445000,11106727,13637320,8576134,338273,1291143,0.2620,120,14400,8.819E-15,1.764E-14,-1.0000,-1.22E-14,-3.53E-14,1.0000,1.0000,1.464E-15,-1.0000
01APR1998,10960000,9692579,12223171,7161986,1267421,1291143,0.9816,121,14641,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1998,7460000,7165596,9696189,4635003,294404,1291143,0.2280,122,14884,-0.8660,-0.8660,0.5000,2.303E-14,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1998,4608000,6887659,9418252,4357066,-2279659,1291143,-1.7656,123,15129,-1.0000,-2.84E-14,1.0000,-1.0000,-5.68E-14,1.0000,-2.84E-14,-1.0000,1.0000
01JUL1998,6893000,9368138,11898731,6837545,-2475138,1291143,-1.9170,124,15376,-0.8660,0.8660,0.5000,-3.38E-14,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1998,10118000,11206612,13737204,8676019,-1088612,1291143,-0.8431,125,15625,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1998,9051000,10343124,12873717,7812531,-1292124,1291143,-1.0008,126,15876,-5.39E-15,1.078E-14,-1.0000,-1.23E-14,-2.16E-14,1.0000,-1.0000,1.476E-15,-1.0000
01OCT1998,9436000,10768124,13298717,8237531,-1332124,1291143,-1.0317,127,16129,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1998,10307000,9736809,12267402,7206217,570191,1291143,0.4416,128,16384,0.8660,-0.8660,0.5000,1.474E-15,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1998,11327000,10385060,12915652,7854467,941940,1291143,0.7295,129,16641,1.0000,-2.16E-14,1.0000,1.0000,-4.31E-14,1.0000,3.137E-14,1.0000,1.0000
01JAN1999,12603013,13159331,15689924,10628738,-556318,1291143,-0.4309,130,16900,0.8660,0.8660,0.5000,9.307E-15,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1999,8384613,10206593,12737186,7676000,-1821980,1291143,-1.4111,131,17161,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1999,12627362,12029529,14560122,9498936,597833,1291143,0.4630,132,17424,1.617E-14,3.234E-14,-1.0000,-2.01E-14,-6.47E-14,1.0000,1.0000,-4.42E-15,-1.0000
01APR1999,9296622,10625429,13156022,8094837,-1328807,1291143,-1.0292,133,17689,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1999,7936936,8108495,10639088,5577903,-171559,1291143,-0.1329,134,17956,-0.8660,-0.8660,0.5000,3.087E-14,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1999,6698641,7840608,10371200,5310015,-1141967,1291143,-0.8845,135,18225,-1.0000,-1.47E-14,1.0000,-1.0000,-2.94E-14,1.0000,-3.43E-14,-1.0000,1.0000
01JUL1999,10987359,10331135,12861728,7800542,656224,1291143,0.5083,136,18496,-0.8660,0.8660,0.5000,1.519E-14,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1999,13223954,12179657,14710250,9649065,1044297,1291143,0.8088,137,18769,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1999,12139242,11326219,13856811,8795626,813023,1291143,0.6297,138,19044,-1.27E-14,2.548E-14,-1.0000,-4.41E-15,-5.1E-14,1.0000,-1.0000,7.357E-15,-1.0000
01OCT1999,13246477,11761268,14291861,9230675,1485209,1291143,1.1503,139,19321,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1999,9757839,10740002,13270595,8209409,-982163,1291143,-0.7607,140,19600,0.8660,-0.8660,0.5000,-6.37E-15,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1999,14446017,11398301,13928894,8867708,3047716,1291143,2.3605,141,19881,1.0000,-7.84E-15,1.0000,1.0000,-1.57E-14,1.0000,-1.96E-14,1.0000,1.0000
01JAN2000,14518000,14182621,16713214,11652028,335379,1291143,0.2598,142,20164,0.8660,0.8660,0.5000,1.715E-14,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB2000,13293000,11239932,13770525,8709339,2053068,1291143,1.5901,143,20449,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR2000,10718000,13072916,15603509,10542324,-2354916,1291143,-1.8239,144,20736,9.309E-15,1.862E-14,-1.0000,-2.79E-14,-3.72E-14,1.0000,1.0000,-1.03E-14,-1.0000
01APR2000,11575000,11678866,14209459,9148273,-103866,1291143,-0.0804,145,21025,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY2000,7967000,9171981,11702573,6641388,-1204981,1291143,-0.9333,146,21316,-0.8660,-0.8660,0.5000,3.871E-14,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN2000,7348000,8914142,11444734,6383549,-1566142,1291143,-1.2130,147,21609,-1.0000,-2.94E-14,1.0000,-1.0000,-5.88E-14,1.0000,-4.02E-14,-1.0000,1.0000
01JUL2000,11335000,11414718,13945311,8884125,-79718,1291143,-0.0617,148,21904,-0.8660,0.8660,0.5000,7.355E-15,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG2000,12399000,13273289,15803882,10742696,-874289,1291143,-0.6771,149,22201,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP2000,11453000,12429899,14960492,9899306,-976899,1291143,-0.7566,150,22500,-5.88E-15,1.176E-14,-1.0000,3.426E-15,-2.35E-14,1.0000,-1.0000,-4.36E-14,-1.0000
01OCT2000,12238000,12874997,15405590,10344404,-636997,1291143,-0.4934,151,22801,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV2000,10797000,11863780,14394373,9333187,-1066780,1291143,-0.8262,152,23104,0.8660,-0.8660,0.5000,-1.42E-14,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC2000,14016000,12532128,15062721,10001535,1483872,1291143,1.1493,153,23409,1.0000,-2.25E-14,1.0000,1.0000,-4.51E-14,1.0000,-1.37E-14,1.0000,1.0000
01JAN2001,,15326497,17857090,12795904,,1291143,,154,23716,0.8660,0.8660,0.5000,0,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB2001,,12393857,14924449,9863264,,1291143,,155,24025,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR2001,,14236890,16767483,11706297,,1291143,,156,24336,9.769E-15,1.809E-14,-1.0000,0,-4.39E-14,1.0000,1.0000,0,-1.0000
01APR2001,,12852888,15383481,10322295,,1291143,,157,24649,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY2001,,10356052,12886644,7825459,,1291143,,158,24964,-0.8660,-0.8660,0.5000,0,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN2001,,10108261,12638854,7577669,,1291143,,159,25281,-1.0000,-2.64E-14,1.0000,-1.0000,-4.61E-14,1.0000,-1.09E-14,-1.0000,1.0000
01JUL2001,,12618887,15149479,10088294,,1291143,,160,25600,-0.8660,0.8660,0.5000,0,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG2001,,14487507,17018099,11956914,,1291143,,161,25921,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP2001,,13654165,16184758,11123572,,1291143,,162,26244,-7.37E-15,1.358E-14,-1.0000,0,-3.21E-14,1.0000,-1.0000,0,-1.0000
01OCT2001,,14109312,16639905,11578719,,1291143,,163,26569,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV2001,,13108144,15638737,10577551,,1291143,,164,26896,0.8660,-0.8660,0.5000,0,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC2001,,13786540,16317133,11255947,,1291143,,165,27225,1.0000,-1.99E-14,1.0000,1.0000,-3.3E-14,1.0000,4.025E-15,1.0000,1.0000
